Name,Rookie,JN,BD,BD_Y,Hgt,Wgt,Pos,Team,GP,G,A,PTS,Pts/G,+/-,PPG,PPA,PPP,SHG,SHA,SHPTS,GWG,ENG,PIM,Active
Jordan D'Intino,NO,38,2003-03-01,2003,6.01,190,LW,Soo Greyhounds,54,20,21,41,0.76,10,4,5,9,3,1,4,2,2,36,1
Cole Davis,YES,86,2006-06-22,2006,5.1,175,LW,Windsor Spitfires,63,20,21,41,0.65,-37,6,5,11,2,1,3,2,1,55,1
Braydon McCallum,YES,29,2006-05-03,2006,5.1,165,RW,Peterborough Petes,62,18,23,41,0.66,-9,5,3,8,1,0,1,2,2,128,1
Ethan Miedema,NO,15,2005-03-22,2005,6.04,201,LW,Kingston Frontenacs,68,18,23,41,0.6,-12,8,5,13,0,0,0,2,0,47,1
Andre Anania,NO,78,2003-03-02,2003,6.01,200,D,Sudbury Wolves,60,10,31,41,0.68,49,0,2,2,1,0,1,1,0,62,1
Zach Filak,NO,11,2004-01-21,2004,6,175,C,Sarnia Sting,61,24,16,40,0.66,-21,6,4,10,0,3,3,2,1,71,1
Josh Bloom,NO,17,2003-06-08,2003,6.02,185,LW,Saginaw Spirit,34,17,23,40,1.18,18,4,7,11,0,1,1,3,1,15,1
Ben Bujold,NO,89,2004-03-03,2004,6,179,C,Brantford Bulldogs,63,14,26,40,0.63,19,0,1,1,3,1,4,0,2,16,1
Chase Lefebvre,NO,7,2004-05-13,2004,6.02,170,C,Peterborough Petes,68,17,22,39,0.57,-46,4,7,11,0,0,0,2,1,38,1
Cole Brown,NO,92,2005-04-27,2005,6.03,180,RW,Brantford Bulldogs,65,16,23,39,0.6,-7,2,3,5,0,0,0,1,1,45,1
Kashawn Aitcheson,NO,77,2006-09-21,2006,6.01,191,D,Barrie Colts,64,8,31,39,0.61,-1,1,6,7,0,4,4,1,0,126,1
AJ Spellacy,NO,8,2006-02-24,2006,6.03,195,C,Windsor Spitfires,67,21,17,38,0.57,-22,3,4,7,5,0,5,3,0,59,1
Jacob Therrien,NO,6,2006-02-08,2006,5.08,165,RW,North Bay Battalion,61,20,18,38,0.62,2,1,3,4,0,0,0,0,1,77,1
Eduard Šalé,NO,12,2005-03-10,2005,6.02,178,LW,Kitchener Rangers,49,15,23,38,0.78,-2,5,10,15,0,0,0,1,0,8,1
Donovan McCoy,NO,19,2004-11-10,2004,6,198,D,Sudbury Wolves,67,9,29,38,0.57,-3,1,9,10,1,2,3,3,0,62,1
Anthony Cristoforo,NO,74,2006-02-23,2006,5.11,180,D,Windsor Spitfires,67,7,31,38,0.57,-43,4,12,16,0,1,1,1,0,29,1
Sam McCue,NO,12,2005-10-03,2005,6.01,177,RW,Owen Sound Attack,68,23,14,37,0.54,-10,5,2,7,0,0,0,0,0,53,1
Kaleb Lawrence,NO,25,2003-01-10,2003,6.06,221,C,London Knights,58,20,17,37,0.64,11,3,1,4,1,0,1,4,2,89,1
Easton Wainwright,NO,12,2005-01-19,2005,5.1,178,C,Sarnia Sting,54,13,24,37,0.69,-18,2,5,7,1,1,2,3,0,25,1
Alexis Daviault,NO,72,2005-06-17,2005,6,190,D,Erie Otters,65,7,30,37,0.57,-5,1,13,14,0,2,2,1,0,53,1
Ethan Procyszyn,NO,21,2006-07-11,2006,6.03,189,C,North Bay Battalion,62,15,21,36,0.58,2,2,3,5,0,0,0,2,0,67,1
Zander Veccia,NO,27,2004-07-27,2004,5.1,184,RW,Guelph Storm,60,10,26,36,0.6,-3,1,5,6,0,0,0,3,1,22,1
Mason Zebeski,NO,19,2005-10-04,2005,6.01,186,LW,Mississauga Steelheads,55,24,11,35,0.64,9,7,3,10,0,0,0,7,0,52,1
Charlie Paquette,NO,23,2005-12-06,2005,6.01,192,RW,Guelph Storm,68,21,14,35,0.51,-15,3,2,5,0,0,0,7,0,55,1
Mike Levin,NO,16,2005-10-16,2005,5.08,150,LW,Niagara IceDogs,60,18,17,35,0.58,-14,2,3,5,0,1,1,2,0,27,1
Bruce McDonald,NO,92,2004-12-18,2004,6,175,C,Erie Otters,65,18,17,35,0.54,3,1,1,2,3,1,4,2,0,17,1
Travis Hayes,YES,13,2007-09-03,2007,5.11,168,RW,Soo Greyhounds,58,14,21,35,0.6,9,3,5,8,0,0,0,2,0,44,1
Quinton Burns,NO,41,2005-04-14,2005,6.01,178,D,Kingston Frontenacs,58,6,29,35,0.6,-19,0,11,11,1,1,2,0,2,120,1
Dylan Edwards,NO,11,2005-07-20,2005,5.08,162,RW,Erie Otters,38,22,12,34,0.89,19,1,0,1,0,0,0,2,1,13,1
Nathan Aspinall,NO,76,2006-03-30,2006,6.07,189,LW,Flint Firebirds,65,18,16,34,0.52,-8,2,0,2,0,0,0,3,0,23,1
Noah Morneau,NO,11,2004-05-07,2004,6,160,C,Windsor Spitfires,66,13,21,34,0.52,-34,4,3,7,1,0,1,0,0,25,1
Sebastien Gervais,NO,15,2005-04-11,2005,6.01,185,LW,Saginaw Spirit,68,12,22,34,0.5,0,2,2,4,0,0,0,2,0,23,1
Liam Arnsby,NO,11,2003-11-20,2003,5.11,180,C,North Bay Battalion,60,11,23,34,0.57,9,1,1,2,1,2,3,2,1,93,1
Luke McNamara,NO,29,2005-03-02,2005,6.02,180,C,Kingston Frontenacs,60,10,24,34,0.57,-6,1,0,1,0,0,0,1,0,35,1
Finn Harding,NO,7,2005-03-02,2005,6.01,198,D,Mississauga Steelheads,68,10,24,34,0.5,39,1,6,7,1,0,1,0,2,54,1
Lukas Fischer,NO,13,2006-09-09,2006,6.03,170,D,Sarnia Sting,68,6,28,34,0.5,-27,4,9,13,0,0,0,0,0,79,1
Vilmer Alriksson,NO,25,2005-02-18,2005,6.06,215,LW,Guelph Storm,67,17,16,33,0.49,0,7,2,9,0,0,0,3,0,35,1
Jacob Frasca,NO,15,2003-03-19,2003,6.05,216,RW,Soo Greyhounds,45,16,17,33,0.73,6,5,5,10,1,0,1,4,1,40,1
